Tanggal,LPG,Bawang Merah,Kentang,Gula Pasir,Ketela Pohon
03/01/2022,25833,19000,12833,13417,6000
10/01/2022,25833,20667,14000,13667,6000
17/01/2022,25833,19000,13667,13667,5667
24/01/2022,26000,19167,13333,15333,5667
31/01/2022,25833,19167,13333,15167,5667
07/02/2022,26000,21333,13333,14667,5333
14/02/2022,26000,26833,13333,14833,5333
21/02/2022,26000,23833,13333,15750,5333
28/02/2022,25565,26717,13615,15033,4826
07/03/2022,26000,27833,13333,15750,5333
14/03/2022,25565,26717,14109,15033,4826
21/03/2022,26000,25333,13333,14750,5333
28/03/2022,25667,25500,13333,15167,5333
04/04/2022,25167,25167,13917,15333,4167
11/04/2022,25333,26000,13583,15333,4167
18/04/2022,25333,25500,13583,15083,4167
25/04/2022,25333,23333,13583,15250,4167
02/05/2022,25565,26717,14109,15033,4826
09/05/2022,25333,24833,13583,15083,4167
16/05/2022,25333,23667,13583,15083,4167
23/05/2022,25333,25667,13583,15500,4167
30/05/2022,25167,29167,13917,15667,4167
06/06/2022,25167,29000,13917,15333,4167
13/06/2022,25167,42500,13917,15333,4167
20/06/2022,25167,42833,13917,15333,4167
27/06/2022,25167,49167,13917,15250,4167
